count	time
4917	2676442
4918	2678815
4919	2681654
4920	2696283
4921	2697008
4922	2697192
4923	2697280
4924	2697471
4925	2699387
4926	2699545
4927	2699706
4928	2700794
4929	2701364
4930	2701422
4931	2701496
4932	2701679
4933	2701840
4934	2701853
4935	2702031
4936	2702059
4937	2702255
4938	2702382
4939	2702424
4940	2702453
4941	2702631
4942	2702665
4943	2702874
4944	2702995
4945	2703068
4946	2703276
4947	2703366
4948	2703385
4949	2703472
4950	2703624
4951	2703628
4952	2703657
4953	2703658
4954	2703820
4955	2703836
4956	2703861
4957	2703921
4958	2703934
4959	2704007
4960	2704045
4961	2704058
4962	2704107
4963	2704116
4964	2704249
4965	2704275
4966	2704285
4967	2704321
4968	2704441
4969	2704452
4970	2704464
4971	2704493
4972	2704496
4973	2704634
4974	2704673
4975	2704692
4976	2704742
4977	2704829
4978	2704911
4979	2704930
4980	2704981
4981	2705044
4982	2705065
4983	2705096
4984	2705245
4985	2705283
4986	2705294
4987	2705324
4988	2705448
4989	2705563
4990	2705574
4991	2705672
4992	2705685
4993	2705749
4994	2705834
4995	2705883
4996	2705892
4997	2705899
4998	2705934
4999	2705982
5000	2706060
5001	2706091
5002	2706114
5003	2706161
5004	2706320
5005	2706364
5006	2706368
5007	2706379
5008	2706405
5009	2706457
5010	2706495
5011	2706515
5012	2706636
5013	2706719
5014	2706778
5015	2706929
5016	2706939
5017	2707078
5018	2707081
5019	2707086
5020	2707087
5021	2707120
5022	2707246
5023	2707305
5024	2707318
5025	2707409
5026	2707489
5027	2707579
5028	2707700
5029	2707700
5030	2707769
5031	2707801
5032	2707809
5033	2707896
5034	2707989
5035	2708109
5036	2708226
5037	2708339
5038	2708391
5039	2708395
5040	2708445
5041	2708554
5042	2708623
5043	2708712
5044	2708866
5045	2708879
5046	2709272
5047	2709470
5048	2709575
5049	2709660
5050	2709848
5051	2710127
5052	2710310
5053	2710807
5054	2710878
5055	2711030
5056	2711473
5057	2711514
5058	2711555
5059	2711663
5060	2712035
5061	2712204
5062	2712330
5063	2712368
5064	2712776
5065	2712790
5066	2712942
5067	2713282
5068	2713641
5069	2713828
5070	2714012
5071	2714187
5072	2714386
5073	2714502
5074	2715053
5075	2715140
5076	2715184
5077	2715251
5078	2715394
5079	2715400
5080	2715537
5081	2716372
5082	2718220
5083	2718499
5084	2718586
5085	2718693
5086	2718778
5087	2718968
5088	2719628
5089	2719670
5090	2719858
5091	2720005
5092	2720069
5093	2720146
5094	2720367
5095	2720681
5096	2720841
5097	2721044
5098	2721048
5099	2721430
5100	2721735
5101	2721831
5102	2722115
5103	2722306
5104	2722404
5105	2722774
5106	2722923
5107	2722935
5108	2723081
5109	2723425
5110	2723523
5111	2723525
5112	2723640
5113	2723851
5114	2723856
5115	2724035
5116	2724795
5117	2725031
5118	2725403
5119	2725725
5120	2725750
5121	2725930
5122	2725944
5123	2726477
5124	2726560
5125	2727638
5126	2727846
5127	2727982
5128	2729234
5129	2729495
5130	2729674
5131	2730557
5132	2730993
5133	2731305
5134	2731608
5135	2731748
5136	2732086
5137	2732265
5138	2732548
5139	2732569
5140	2732780
5141	2732948
5142	2732990
5143	2733096
5144	2733496
5145	2733860
5146	2733978
5147	2734016
5148	2734020
5149	2734051
5150	2734178
5151	2734195
5152	2734202
5153	2734371
5154	2734393
5155	2734404
5156	2734567
5157	2734567
5158	2734590
5159	2734735
5160	2734752
5161	2734852
5162	2734941
5163	2734943
5164	2735158
5165	2735159
5166	2735320
5167	2735348
5168	2735597
5169	2735726
5170	2735755
5171	2735764
5172	2735921
5173	2736101
5174	2736273
5175	2736302
